title	rating	review
C une anarque	1,0 sur 5 etoiles	Une grosse anarque c'est une imitation decu je souhaite etre rembourser
Les 10 ans de l'iPhone . L'iPhone X	5,0 sur 5 etoiles	Tres bon telephone , la reconnaissance facial on s'y fais tres vite , meme en faible luminosite cela fonctionne . L'iPhone X est genial , la batterie tient bien .De plus le prix est vraiment correct compare au magasin
Bonne affaire	5,0 sur 5 etoiles	Le plus evolue des smartphones dans son emballage d'origine Apple, tres soigne, livre depuis l'Italie bien avant la date prevue par Amazon.
Meilleur iPhone jamais cree	5,0 sur 5 etoiles	iPhone X vraiment tres beau et c'est le meilleur iPhone jamais cree.La reconnaissance faciale est vraiment super cool. J'en ai achete 2 de 64 Go par le vendeur  A montain. Beaucoup moins cher que sur le site d'Apple
Acheter les yeux fermes	5,0 sur 5 etoiles	Arrivee dans les temps boite sous blister produit reel certifie apple le seul probleme c'est que le colis est arrive sans signature vue le prix de l'article c'est pas rassurant
Reconditionne	1,0 sur 5 etoiles	Produit reconditionne , a ce prix la on peut exiger un neuf comme annonce dans la description! Et livraison faite chez un voisin...
Le meilleur Iphone !!	5,0 sur 5 etoiles	Le meilleur smartphone que j'ai pu avoir a ce jour ! Mon dernier iPhone etait un 6s qui etait deja vraiment tres bon et apres celui-ci j'etais passe chez Samsung avec le s8 + qui etait excellent aussi mais beaucoup trop grand pour moi au final.Donc du coup j'ai craque pour ce nouvel IPhone X et franchement aucun regret la taille est vraiment parfaite  , j'arrive a l'utiliser a une main sans soucis ! Ce qui est une bonne chose.La fameuse encoche n'est pas vraiment genante , apres c'est vraiment une question de gout je pense ! Face ID est genial, ca marche super bien et meme dans le noir et c'est extremement rapide !Le telephone est ultra fluide ,la disparition du bouton home peut etre un peu deroutante au depart mais s'y fait tres vite et une fois qu'on connait les gestes a faire ca devient un plaisir a l'utiliser ! C'est assez difficile de revenir sur un iPhone avec le bouton home physique apres ca ^^
IPHONE X	5,0 sur 5 etoiles	Meme si le prix reste eleve pour un TelephoneLe systeme de reconnaissance faciale est bluffant compare au deblocage par empreinte du iPhone 7. Rapide et dote d'une belle qualite video, l absence de bouton central n est pas un probleme bien au contraireConcernant l envoi et le prix, il n'y a pas mieux sur le marche.
Decu	1,0 sur 5 etoiles	J'ai deja achete avec A-MONTAIN le meme produit en noir et je n'ai eu aucun soucis . Je ne comprend pas je recois un faux iphone x (tres bien fait) je l'ai vite reconnue j'ai demandee remboursement et je ne commanderais plus avec ce vendeur car je suis vraiment decuMes arguments:-barre en bas et en haut (il devrait juste avoir du noir au centre en haut et la il y en a de partout ) il veulent nous faire croire que c'est un vrai en mettant le petit bout de noir sur le fond d'ecran-l'assistant touch en forme de rond (il doit etre carre)-et le rappel pour manque de batterie qui ne fait pas du tout apple-les bruits ( allumages / screen/ photo/batterie faible)
iPhoneX comme neuf	5,0 sur 5 etoiles	Envoi rapide et soigne, iPhone X comme neuf, aucune trace d'usure visible. Fonctionne parfaitement apres une restauration sur iTunes. Merci beaucoup !!
Achat iPhone X chez Turbado	2,0 sur 5 etoiles	La reception s'est bien faite, paquet bien emballe aucun souci au niveau de la livraison mais apres quelques jours d'utilisation je commence a remarquer quelque chose d'assez vicieux. Je n'ai rien remarque les premiers jours mais apres avoir ete attentive aux details je me rends compte que sur les 3 sorties de sons une ne fonctionne pas (celle en bas a gauche du telephone) de meme la batterie se decharge beaucoup trop vite compare aux iPhone sur que j'ai precedemment eu alors que l'utilisation est la meme . Tres bizarre pour des iPhone << neuf >>. J'attends un remboursement !
Entierement satisfaite !	5,0 sur 5 etoiles	Livraison rapide et en BAL ! Rien a redire, le telephone est neuf avec son emballage d'origine sous blister ! Avec notice en francais, anglais, espagnol et italien. Je ne peux que vous le recommander.
Veritable iPhone X, magnifique produit !	5,0 sur 5 etoiles	Bonjour, iPhone X recu dans les delais precises. Rien a dire, veritable iPhone qui fonctionne a 100%, d'une superbe rapidite et d'un gain de temps de travail dessus incroyable !Rien a dire, je recommande ce produit ;) !
Produit deconditionner	1,0 sur 5 etoiles	Produit reconditionner
Si vous etes decu de l'iPhone Xr, cette iPhone X vous comblera	4,0 sur 5 etoiles	Moi qui est decu de l'iPhone Xr pour son prix et surtout pour un ecran LCD et pour sa taille, je trouve que cette iPhone X est parfait et surtout a ce prix la ( 879EUR au moment que je vous ecrit )Produit effectivement neuf sous blister origine et bien-sur desimlocke .Je vous conseille une coque de protection et une vitre de proctection. D'ici quelques annees cette iPhone sera un collector ...
iPhone X Argent	5,0 sur 5 etoiles	Bonjour le telephone est magnifique et performant y'a pas a dire il et bien neuf sous blister. La qualite de l'ecran Est parfaite !
Un des meilleurs Smartphone actuellement sur le marche	5,0 sur 5 etoiles	Je ne l'ai que depuis hier et je ne sais deja plus m'en passer tellement c'est le top de la qualite mais attention il etait deja livre depuis le samedi 2 fevrier en face de chez moi comme prevu et c'est vraiment le top comme smartphone et je ne regrette pas cette achats et meme si il etait une soixantaine d'euros plus chere que chez mon operateur mobile et internet et de television numerique belge j'ai prefere l'acheter chez Amazon car le service clientele est vraiment impeccable a tous points de vue et quand vous avez le moindre soucis avec la livraison Amazon trouve toujours une solution a  vos problemes
Parfait	5,0 sur 5 etoiles	Ravie de mon achat. J'attendais la sortie des nouveaux iPhones de 2018 (Xs, Xs Max et Xr) pour acheter le X et suis heureuse de l'avoir trouve moins cher ici qu'en magasin. Produit authentique et neuf, sous blister. L'envoi a ete rapide et correctement securise (signature lors de la remise du colis) mais pour un article a ce prix, il aurait ete preferable que le carton soit rempli de papier bulle pour eviter que la boite de l'iPhone ne se balade dedans. A part ca, rien a redire. Je recommande vivement !
Bien	1,0 sur 5 etoiles	Trop fin et sa n'a pas dure longtemps
Ecran excellent	5,0 sur 5 etoiles	Utilisation professionnelFinition assez bonne (inferieure a mon Samsung note 8)iOS est devenu un bon osLeger et bonne autonomie
I phone X	4,0 sur 5 etoiles	Tres bel appareil, hyper fonctionnel, tres belles finitions, apple reste pour moi les meilleurs sur le marche.Le colis est arrive contre signature (moins risque de vol) en bon etat general et une journee en avance.N'hesitez plus, vous pouvez l'acheter les yeux fermes.
PRIX IMBATTABLE	5,0 sur 5 etoiles	Rien a signaler cet iPhone X est bien reel et vrai ! Son prix peut laisser perplexe mais non je vous assure c'est bien un original tout neuf, je l'ai recu au bout de 3 jours avec la livraison prime, signature obligatoire donc parfait ! Par contre comme dit dans les commentaires precedents, la boite du telephone est juste dans un carton sans papier bulle... Enfin bref je suis trop heureuse de cette affaire, prix imbattable! Je recommande :)
Bien	4,0 sur 5 etoiles	J'ai recu ce telephone il y a maintenant 3 semaines. J'en suis pour l'instant tres satisfaite.Recu sous blister, j'ai contacte Apple qui m'ont confirme qu'il etait neuf.Maintenant a voir dans les semaines a venir si il fonctionne toujours aussi bien.
Tres content de mon iphone x	5,0 sur 5 etoiles	Un peu surpris du prix pour le 256go, mais finnalement j'ai bien recu, 1 semaine apres l'achat, mon iphone X dans la boite originale apple sous blister. Je suis tres content de mon achat, j'ai recu rapidement un mail et un sms de DHL pour me donner la date de livraison.Merci !
Tres bon produit	5,0 sur 5 etoiles	Comme toujours chez Apple, un tres bon telephone.Forcement le prix va avecLa reconnaissance faciale fonctionne super bienLivraison effectuee en 5 jours (car plus de stock) donc tres rapide. Telephone tres bien protege pendant la livraisonJ'ai juste un soucis en voiture, pour lire les sms via la voiture il faut avant que je deverrouille le telephone. Je n'ai pas encore trouve comment changer sa.
Ne vaut pas le prix	1,0 sur 5 etoiles	Materiaux tres fragiles et revetement glissant. Couleur de lumiosite plutot jaunatre....Apple et moi, c'est vraiment fini ! Trop cher pour un gadger qui n'apporte au final pas granc chose. Peut etre des emoji animes ?!
Insupportable	1,0 sur 5 etoiles	Produit recu !!!Sans la marchandise dedansJe me bataille avec Amazon et cofidisPour un remboursement ou le renvoi du meme produit depuis le 14 janvierApres plusieurs relances de ma parLe probleme es au meme stade je poste mon message le 8 fevrier que faire pour etre entendu ?Ce rendre a commissariatUne procedure comme celle ci nos amis les bleu vont rireTous le monde sais que attaquer une societe grande comme Amazon mettra du temps sans etres sur d'un resultat!!Alors bravo et merci beaucoup
Excellent telephone	5,0 sur 5 etoiles	Apres des annees en Apple j'avais tente l'aventure Android en juillet dernier et finalement je reviens sur iOS. Utilisation en pro et perso et c'est vraiment un excellent telephone. Apres avoir lu les avis(sur le faut que les telephones etaient re conditionnees) j'ai verifie le numero de serie sur le site Apple et le telephone est bien un modele neuf comme prevu. La livraison a eu lieu le jour prevu par la Societe Colis prive qui est aussi tres decrie sur le site mais franchement tout c'est passe comme prevu pour ma part.
Magnifique appareil	5,0 sur 5 etoiles	Recu en temps voulu cet iPhone est tout simplement superbe, esthetiquement il est beau, etant un habitue Samsung passer sur IOS etait une renaissance pour moiFluidite et simplicite sont au rendez-vous !FaceId fonctionne instantanement, malgre que j'ai souvent quelques cheveux sur le visage faceid s'adapte sans probleme !Je recommande !
Reconnaissance faciale = gadget moins pratique que le Touch ID. Vous etes prevenus...	3,0 sur 5 etoiles	Bon smartphone, bonne taille, grand ecran appreciable. Il me plait, sauf... pour la reconnaissance faciale... un pur gadget marketing qui n'a que des inconvenients par rapport au Touch ID... Pas redibitoire, mais au moins vous etes prevenus...
Ben un iPhone X	5,0 sur 5 etoiles	Ben rien a dire, moi j'aime mon X, remplace mon iPhone 6s par cette iPhone, j'aime la reconnaissance faciale, la banque de mot de passe deverrouillable par faceID (remplace 1Password).
iPhone X	5,0 sur 5 etoiles	Bonjour tout le monde ! Je suis habitue de chez Apple et en voyant le prix je me suis dit que le telephone etait douteux et je me suis lance je l'ai achete et je ne regrette pas dutout ! L'iphone Est comme en boutique neuf dans ca boite d'orgine c'est un original.Donc vraiment n'hesitez pas !
Bug sur le produit	3,0 sur 5 etoiles	J'ai achete l'iPhone X d'occasion qui est tres bien mais des bugs sont survenus et j'ai recu un mail suite a cela pour me prevenir des problemes sur l'article donc j'ai achete un iPhone XR qui est top !!!! Le probleme est que Amazon ne respecte pas les delais de retour... gros probleme.
Merci Amazon, un telephone neuf, livre en 24h!	5,0 sur 5 etoiles	J'ai achete ce telephone en faisant attention de prendre le modele expedie et vendu par Amazon, ne voulant pas le commander chez un vendeur tiers, afin d'etre sur d'avoir un telephone neuf sans prise de risque. Le prix etait un peu plus eleve mais je ne regrette rien, arrive le lendemain, le telephone etait neuf, et c'est un bonheur. J'ai choisi l'option paiement en 4 fois qui donne beaucoup de flexibilite. Aucun regret, nickel, parfait.
un petit bijou	5,0 sur 5 etoiles	D'abord il est tres beau , tres pur , j'avais un 6s ,je n'ai pas ete deroutee par le fonctionnement du X , il est tres facile a configure, j'aime beaucoup la face ID, apres on s'habitue tres vite au balayage. Je suis vraiment contente de mon achat sur votre site. Photos, super.  capture d'ecran, facile. la carte Sim du 6 fonctionne sur le X.
Parfait	5,0 sur 5 etoiles	Produit neuf, sous bilster. Fonctionne parfaitement, produit Apple certifie. Deja converti a Apple depuis quelques annees, l'iPhone X est le meilleur telephone que la marque ai pu faire.
Dimensions parfaites  et bonne protection pour l'iPhone X	4,0 sur 5 etoiles	Coque bien protectrice tout en restant assez discrete. Au depart la coque donne le sentiment de glisser un peu entre les doigts, mais ce phenomene disparait apres quelques jours d'utilisation. Le toucher est ensuite plus agreable.
Parfait.	5,0 sur 5 etoiles	Conforme et protection parfaite.
Un bon ecran pour iPhone X a prix correct	5,0 sur 5 etoiles	Produit de bonne facture, outils de qualite, les couleurs de l'ecran sont bonnes, je recommande beaucoup ce produit.
Au top , bravo .	5,0 sur 5 etoiles	Il existe pletore de produit a chaque fois pour les protections d'ecran des telephones ... mais chacun a probablement eu ces soucis la: 1. Les bulles, et 2. le bon alignement de la vitre sur l'ecran !Avec ce produit voici mes impressions (sachant que j'utilise depuis longtemps ce type de produit pour mes telephones):1. LE COLISAGE: a l'ouverture du colis (une petite boite en plastique blanche), se trouve en fait 2 choses: 1 cale et un coffret ultra robuste en bois.2. LA CALE: ah, enfin une cale !!!! grace a elle, fini les poses hasardeuse de la vitre sur l'ecran. On pose donc cette cale sur l'iPhone et ensuite il n'y a plus qu'a poser la vitre (il me semble toutefois que la vitre est un tout petit plus grande que la cale). ainsi, hop, du 1er coup, tout est parfaitement aligner, et le tour est joue.3. Le coffret et son contenu: autant dire que tout est super bien protege et en super etat: dedans donc voici ce qu'il y a:- 2 x protecteur d'ecran verre trempe- 1 x mode d'emploi (en francais)- 1 x Kit d'installation (la cale est en fait en dehors du coffret en bois)- 1 x chiffonnette imbibee- 1 x chiffonnette pour secher- 1 xchiffon microfibre- 1 x autocollant pour enlever la poussiere- 1 x autocollant guideainsi, dans le cas ou vous vous louper la pose, il y a bien une deuxieme vitre.4. LA VITRE: pour ma pars, avec la cale, aucun soucis de pose et 0 bulles a l'horizon (tout enleve sans soucis au besoin avec la languette plastique livree). cette derniere est de qualite 9h, et la reactivite de l'ecran est 100% identique. Pas de changement de la visibilite de l'ecran, pas de denaturation des couleurs, bref, totalement transparente et neutre. Concernant sa salissure, je ne trouve pas de marquage de doigts particulier sur la vitre (ce qui n'etait pas le cas pour d'autre vitres que j'avais eu auparavant).Verdict:Un tres bon produit, avec une facilite de pose et un calage parfait sur l'ecran du telephone, le tout en 2 min (le temps de bien nettoyer l'ecran surtout - tout est livre dans le coffret). Colisage complet, robuste et offrant une 2eme vitre de secours. Vitre a la norme 9H et peu salissante.Un produit que je recommande
Fait le job	4,0 sur 5 etoiles	Pack de qualite et on ne peut plus complet. Pas de bulles (une au debut mais partie le lendemain). Les sensations sur la vitre sont bonnes.Point faible : la decoupe de l'encoche ne suit pas parfaitement la forme de l'ecran (ca ne pose aucun probleme pratique mais c'est une imperfection esthetique).A savoir egalement que l'epaisseur de la vitre se voit, creant une sorte de contour lumineux legerement decale de l'ecran, ce qui gache un peu le design, la purete des noirs notamment. Mais j'imagine que ce serait le cas avec n'importe quelle vitre de ce type (j'entends, sans bordures incurvees recouvrant 100% de la face avant), alors io ne faut pas ce plaindre.
Vitre Iphone 10	5,0 sur 5 etoiles	Vitre Iphone 10J'ai ete scotche au deballage du produit. Les 2 vitres sont livrees dans une super jolie petite boite qui protege trop bien les vitres.Le fournisseur m'a envoye un tuto d'installation que vous trouverez sur Youtube sous le nom << iPhone X Installation >> qui explique bien comment faire. Mais bon c'est super classique. J'ai quand meme ete impressionne par la qualite du produit, car la vitre est super souple tout en etant epaisse et rigide. La vitre s'applique tres facilement et sans bulle en respectant bien la procedure.C'est parfait.
SAV de qualite.	4,0 sur 5 etoiles	EDIT 05/11 : suite a ce commentaire, le service client Omoton a prit contact avec moi et a trouve une solution a ce probleme. Leur attitude proactive et commerciale est vraiment tres appreciable, ainsi je modifie la note a 4 etoiles, gage de confiance vis a vis d'eux.--------------Normalement j'arrive sans probleme a poser des verres mais ici tout est fait pour que vous vous ratiez1- l'emballage est tres joli mais pas pratique, le temps que vous retiriez le film de son support plastique, vous avez le temps que plein de poussieres se posent sur l'ecran2- le guide est plus petit que le verre ce qui rend la pose tres difficileC'est vraiment dommage car j'etais Tres emballe par ce produit a sa reception. Bilan: je me suis rate sur les deux verres inclus -> poubelle.
excellent	5,0 sur 5 etoiles	Produit facile a installer, la qualite est au rendez vous, A  l'ouverture de l'enveloppe le produit est protege dans un etui carton epais.Tout le necessaire pour l'installation est compris , guide , lingettes, micro fibre, et 2 feuilles adhesives pour oter les grains de poussiere.
Kit complet	4,0 sur 5 etoiles	C'etait ma premiere pose d'ecran de protection et je suis convaincue que j'ai fait le bon choix avec ce kit de ultra complet, le petit plus etant le cadre pour bien delimite la pose sur l'iX. J'ai bien note l'achat car le prix est ultra attractif pour deux possibilites de poses. Malgre tout pour une premiere je n'ai pu eviter les bulles... et la c'est moi que je remet en cause je pense et non la qualite du produit. Elles se resorbent tout doucement pour ne laisser place qu'a Quelques micro bulles. Le plus complique c'est vraiment d'eviter que de minuscules poussieres s'invitent a la pose. Allez y c'est vraiment un tres bon achat rapport qualite/prix
Qualite tres moyenne	2,0 sur 5 etoiles	J'ai achete ce verre pour proteger l'ecran de mon  iPhone X mais il y'a beaucoup d'espace non protege autour, surement du a l'arrondi de l'ecran.J'ai eu une petite rayure sur le verre 1 jour apres l'avoir pose et une poussiere qui n'etait pas a la pose a reussi a rentrer sur un cote .. Decue...Peut etre que je suis tombee sur une mauvaise serie !
Fantastique, vraiment !	5,0 sur 5 etoiles	Tres tres agreablement surpris par le produit : bien emballe, kit tres complet et bien pense (lingette nettoyante, feuille collante pour les poussieres, micro-fibre pour la finition, guide genial pour placer le verre). L'installation est facile et j'ai meme pu repositionner le verre pour eliminer les quelques bulles recalcitrantes du premier essai.A l'utilisation, le verre (ses bords) est visible ecran eteint mais se fait oublier des allumage. Les fonctionnalite tactiles restent pleinement utilisables sans degradation.Vraiment a ce prix je ne peux que vivement recommander ce produit pour parer l'accident insupportable sur nos magnifiques X.
Decue	1,0 sur 5 etoiles	Tres decue par cette protection.La premiere avait des poussieres colles et impossible de les enlever sur la face collante : a jeter.La deuxieme, les bords n'adherent pas du tout (bords plus coins)J'ai l'habitude de ce genre de produit et n'avais jamais eu de probleme jusqu'a present.Points positifs : le systeme de guidage et le fait que le tactile fonctionne tres bien (y compris le FaceID)Cependant, quand on glisse la protection dans le systeme de guidage, de tous petits bouts de plastique se detachent du guide et se collent sur les bords de la protection.Bref. A fuir.
Tres bon produit !	5,0 sur 5 etoiles	Livre complet, avec le guide pour positionner l'ecran du premier coup, et tout le necessaire pour une application reussie :- Lingette humide pour nettoyer l'ecran ;- Microfibre pour essuyer apres nettoyage ;- Autocollant pour retirer les dernieres poussieres ;- Guide de positionnement ;le tout en double exemplaire avec les 2 protections dans une boite elegante.Aucune modification de la reactivite de l'ecran apres installation.Seul "mini-bemol", il y a un peu plus de traces de doigts que sur l'ecran nu, car le traitement oleophobe de la protection n'est pas aussi abouti que celui de l'ecran d'origine, mais cela reste un excellent rapport qualite prix !A conseiller sans hesiter !
Protection d'ecran fissuree sans choc en quelques semaines	1,0 sur 5 etoiles	J'avais par le passe deteste les protections d'ecran en verre qui cassaient aux angles a la premiere occasion puis eu sur mon telephone precedent une protection en verre qui avait tenu dans le temps. Ayant change de telephone j'ai voulu remettre une protection en verre... Helas sans choc la protection a commence a se fissurer en plein milieu de l'ecran ! Donc cette protection va terminer a la poubelle apres quelques semaines d'utilisation et sans avoir eu a subir le moindre choc ! J'imagines que si elle avait du proteger mon ecran en cas de choc ou pire de chute elle aurait rendu les armes et laisse l'ecran du telephone subir le meme sort... A eviter donc !
Tres bon produit	5,0 sur 5 etoiles	Ecrans livres avec un kit d'installation qui simplifie vraiment la mise en place et le cadrage. (Tous devraient en avoir).Se fait totalement oublier apres installation.N'affecte ni la reconnaissance faciale, ni l'utilisation de l'ecran.A noter : c'est le premier ecran de protection qui prend aussi peu les marques de doigts. Depuis que je l'ai installe (une semaine), je n'ai pas eu a le nettoyer, c'est remarquable. Donc on peut vraiment dire qu'il est oleophobique.Il est vraiment tres plaisant d'avoir un ecran propre en permanence : Bravo !
Verre trempe sans bulle ni poussiere juste le verre sur du verre et rien que du verre !	5,0 sur 5 etoiles	Difficile de trouver des films qui ne fait pas de bulle, qui n'a pas de m*** qui se colle pendant que vous le mettez et si se colle a la bonne taille de l'ecran grace au patron fournit. Ha est important quand vous avez un IPhone X ! Le rebord du verre est agreable et pas reche au toucher, je trouve que c'est Important quand vous avez un telephone sans bord.
Parfait	5,0 sur 5 etoiles	Super article.Facile a montrer (j'en avais deja utilise certains, mais celui ci est incontestablement plus facile a monter).Tout est explique et tout le necessaire pour la pose est egalement dispo.La pose d'un ecran n'aura jamais ete aussi facile. Qui plus est il est resistant.
decu	1,0 sur 5 etoiles	Bonjour, j'ai achete sur lecture des commentaires comme quoi cette protection ecran etait tres facile d'installation.L'idee du gabarit est top mais pour ma part, j'ai eu beaucoup de bulle d'air et 1 poussiere a retire apres collage et la... malgre le nettoyage a la lingette humide puis utilisation de la micro fibre. Decollage tres tres doux de la protection pour retirer la poussiere avec l'autocollant mais ca le recolle pas la ou j'ai decolle...Donc j'utilise la deuxieme protection, tout pareil et une grosse bulle d'air au milieu... obligation de decoller pour retirer la bulle et la.... pareil... le coin que j'ai decolle ne veut plus recoller...
ARTICLE DEFECTUEUX ET DE MAUVAISE QUALITE	1,0 sur 5 etoiles	Passez votre chemin, n'achetez pas cela! qualite mediocre, le patron a place le protege ecran completement decale ... j'ai du tout retirer et jete ... tres decu 10e a la poubelle.
Adapte a Iphone XS, sait se faire oublier	5,0 sur 5 etoiles	Pose du premier coup, fin, semble faire son boulot (je n'ai pas teste sa resistance en faisant tomber volontairement mon smartphone !). On oublie la presence de ce film sur l'ecran. Pas de gene, pas de difference de sensation ou de luminosite. Je recommande. A noter que ce film presente un decroche au niveau de l'ecouteur du haut de l'ecran. C'est plutot joli une fois pose.  A acheter les yeux fermes. Bon rapport qualite-prix.
Je recommande	5,0 sur 5 etoiles	Tres bon produit. Arrive dans un boitier solide afin de proteger son contenu. Contient un chiffon micro fibre, deux ecrans en verre trempe, deux stickers attrape poussiere d'une bonne taille, des petites serviettes a l'alcool et un guide d'application du verre.L'utilisation est facile, d'autant plus que le guide d'application du verre se clipse a votre telephone, permettant une application symetrique du verre.
Une vitre promise sans imperfections mais avec !!	2,0 sur 5 etoiles	Meme apres avoir suivi les explications traduites sur google traduction, des bulles d'airs se trouvent sous l'ecran, et impossible de l'enlever. De plus, une sorte de tache d'huile se trouve sous l'ecran, qui se voit evidemment quand l'ecran est allume, et impossible de l'enlever en << raclant >>.Bref la fameuse vitre sans bulle n'est qu'un mensonge, et je suis content d'avoir une vitre avec plein de trucs indesirables.
Avis mitige	3,0 sur 5 etoiles	Ce produit est tres bien, cependant l'une des 2 vitres est arrivee avec le plastique de protection de travers et a moitie decolle, plein de poussieres s'est accumule sur la colle. Malgre sun emballage intact, cela a donc etait fait avant l'emballage. L'un etait donc parfait mais l'autre completement inutilisable, j'ai malheureusement du le jeter.
Parfait	5,0 sur 5 etoiles	Tres satisfaite ! Ce kit est complet avec une notice claire, l'ecran est tres facile a installer (le tuteur m'a vraiment aidee : positionnement parfait et aucune bulle). Pour un prix bas, la qualite est au rendez-vous (ce kit est d'ailleurs meilleur que ceux que l'on peut trouver en grande surface pour 15-20EUR). Pour moi c'est un sans faute jusque la. Reste a voir si dans le temps la protection est resistante. Je recommande !
